bet_slip_number,date_time,bet_name,coefficient,is_express,status,bet_selection,stake,event_time
72972615373,19.11.2025 | 01:57,Football. World Cup 2026 Qualification. Europe Yellow Cards Wales - Yellow Cards Republic of North Macedonia,2.5,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,19.11.2025 | 00:45
72972495401,19.11.2025 | 01:54,Football. World Cup 2026 Qualification. Europe Yellow Cards Belarus - Yellow Cards Greece,2.6,No,loss,Individual Total 1 Over (2.5) (loss),0.3 ,19.11.2025 | 00:45
72972309985,19.11.2025 | 01:49,Football. World Cup 2026 Qualification. Europe Corners Scotland - Corners Denmark,1,No,win,Individual Total 2 Over (9) (100% refund),0.3 ,19.11.2025 | 00:45
72972120983,19.11.2025 | 01:45,Football. World Cup 2026 Qualification. Europe Scotland - Denmark,1.68,No,win,Individual Total 2 Over (1) (win),0.3 ,19.11.2025 | 00:45
72972114957,19.11.2025 | 01:45,Football. World Cup 2026 Qualification. Europe Yellow Cards Austria - Yellow Cards Bosnia and Herzegovina | Football. World Cup 2026 Qualification. Europe Yellow Cards Belarus - Yellow Cards Greece | Football. World Cup 2026 Qualification. Europe Austria - Bosnia and Herzegovina | Football. World Cup 2026 Qualification. Europe Scotland - Denmark,10.16,Yes,loss,Total Over (4.5) (loss) | Individual Total 1 Over (1.5) (loss) | Individual Total 1 Over (1) (100% refund) | Individual Total 2 Over (1) (win),0.3 ,19.11.2025 | 00:45 | 19.11.2025 | 00:45 | 19.11.2025 | 00:45 | 19.11.2025 | 00:45
72971904583,19.11.2025 | 01:41,Football. World Cup 2026 Qualification. Europe Yellow Cards Austria - Yellow Cards Bosnia and Herzegovina,2.25,No,loss,Individual Total 1 Over (2.5) (loss),0.3 ,19.11.2025 | 00:45
72971460735,19.11.2025 | 01:31,Football. World Cup 2026 Qualification. Europe Yellow Cards Belarus - Yellow Cards Greece | Football. World Cup 2026 Qualification. Europe Yellow Cards Bulgaria - Yellow Cards Georgia,5.11,Yes,loss,Individual Total 1 Over (1.5) (loss) | Individual Total 1 Over (1.5) (loss),0.3 ,19.11.2025 | 00:45 | 19.11.2025 | 00:45
72971437331,19.11.2025 | 01:30,Football. World Cup 2026 Qualification. Europe Yellow Cards Austria - Yellow Cards Bosnia and Herzegovina,2.22,No,loss,Individual Total 1 Over (1.5) (loss),0.3 ,19.11.2025 | 00:45
72971360423,19.11.2025 | 01:27,Football. World Cup 2026 Qualification. Europe Corners Scotland - Corners Denmark 1st half,1.73,No,win,Individual Total 2 Over (4.5) (win),0.3 ,19.11.2025 | 00:30
72971000661,19.11.2025 | 01:19,Football. World Cup 2026 Qualification. Europe Corners Scotland - Corners Denmark 1st half,2.03,No,win,Individual Total 2 Over (4.5) (win),0.3 ,19.11.2025 | 00:30
72970892615,19.11.2025 | 01:16,Football. World Cup 2026 Qualification. Europe Yellow Cards Sweden - Yellow Cards Slovenia,1.59,No,win,Individual Total 1 Over (1.5) (win),0.3 ,19.11.2025 | 00:45
72970816209,19.11.2025 | 01:14,Football. World Cup 2026 Qualification. Europe Corners Spain - Corners Turkey,1.65,No,loss,Total Under (8.5) (loss),0.3 ,19.11.2025 | 00:45
72970682655,19.11.2025 | 01:11,Football. World Cup 2026 Qualification. Europe Corners Scotland - Corners Denmark 1st half,1.65,No,win,Individual Total 2 Over (2.5) (win),0.3 ,19.11.2025 | 00:30
72970636211,19.11.2025 | 01:10,Football. World Cup 2026 Qualification. Europe Yellow Cards Kosovo - Yellow Cards Switzerland,1.65,No,loss,Individual Total 1 Over (2.5) (loss),0.3 ,19.11.2025 | 00:45
72946619627,18.11.2025 | 15:54,Football. World Cup 2026 Qualification. Europe Sweden - Slovenia,1.53,No,win,Team 1 Not To Lose And Total > (1.5) - Yes (win),0.43 ,19.11.2025 | 00:45
72946546997,18.11.2025 | 15:52,Football. World Cup 2026 Qualification. Europe Corners Spain - Corners Turkey 1st half,1,No,win,Individual Total 2 Over (1) (100% refund),0.3 ,19.11.2025 | 00:45
